,Municipio,Año,Ingresos,Monto ingresos,Porcentaje ingresos,Egresos,Monto egresos,Porcentaje egresos,Concepto,Total
129,Santa Catarina,2000,Ingresos provenientes de transferencias federales,139726752,57.34%,Inversión,66088807,27.12%,Egresos,243695370
130,Santa Catarina,2000,Ingresos de deuda,16500000,6.77%,Deuda,17585549,7.22%,,
131,Santa Catarina,2000,,,,Otros,12942972,5.31%,,
132,Santiago,2000,Ingresos propios,25900932,44.57%,Gasto corriente,38680312,66.56%,Ingresos,58111835
133,Santiago,2000,Ingresos provenientes de transferencias federales,30710903,52.85%,Inversión,13274367,22.84%,Egresos,58111835
134,Santiago,2000,Ingresos de deuda,1500000,2.58%,Deuda,400000,0.69%,,
135,Santiago,2000,,,,Otros,5757156,9.91%,,
136,Abasolo,2010,Ingresos propios,1529042,8.22%,Gasto corriente,12015303,64.62%,Ingresos,18594552
137,Abasolo,2010,Ingresos provenientes de transferencias federales,15020790,80.78%,Inversión,5798896,31.19%,Egresos,18594552
138,Abasolo,2010,Ingresos de deuda,2044720,11.00%,Deuda,145568,0.78%,,
139,Abasolo,2010,,,,Otros,634785,3.41%,,
144,Cadereyta,2010,Ingresos propios,45520779,18.90%,Gasto corriente,180944830,75.13%,Ingresos,240855446
145,Cadereyta,2010,Ingresos provenientes de transferencias federales,183401904,76.15%,Inversión,51361621,21.32%,Egresos,240855446
146,Cadereyta,2010,Ingresos de deuda,11932763,4.95%,Deuda,0,0.00%,,
147,Cadereyta,2010,,,,Otros,8548995,3.55%,,
148,El Carmen,2010,Ingresos propios,14037462,31.48%,Gasto corriente,30383767,68.15%,Ingresos,44584888
149,El Carmen,2010,Ingresos provenientes de transferencias federales,30547426,68.52%,Inversión,12166771,27.29%,Egresos,44584888
150,El Carmen,2010,Ingresos de deuda,0,0.00%,Deuda,30260,0.07%,,
151,El Carmen,2010,,,,Otros,2004090,4.49%,,
152,Ciénaga de Flores,2010,Ingresos propios,34695590,38.41%,Gasto corriente,68500703,75.84%,Ingresos,90328312
153,Ciénaga de Flores,2010,Ingresos provenientes de transferencias federales,37851895,41.90%,Inversión,19520889,21.61%,Egresos,90328312
154,Ciénaga de Flores,2010,Ingresos de deuda,17780827,19.68%,Deuda,841142,0.93%,,
155,Ciénaga de Flores,2010,,,,Otros,1465578,1.62%,,
156,García,2010,Ingresos propios,123109875,33.31%,Gasto corriente,184310166,49.87%,Ingresos,369564225
157,García,2010,Ingresos provenientes de transferencias federales,135519248,36.67%,Inversión,72218072,19.54%,Egresos,369564225
158,García,2010,Ingresos de deuda,110935102,30.02%,Deuda,10640109,2.88%,,
159,García,2010,,,,Otros,102395878,27.71%,,
164,General Escobedo,2010,Ingresos propios,200345130,19.80%,Gasto corriente,369998626,36.58%,Ingresos,1011613458
165,General Escobedo,2010,Ingresos provenientes de transferencias federales,475238328,46.98%,Inversión,340099656,33.62%,Egresos,1011613458
166,General Escobedo,2010,Ingresos de deuda,336030000,33.22%,Deuda,76926039,7.60%,,
167,General Escobedo,2010,,,,Otros,224589137,22.20%,,
168,General Zuazua,2010,Ingresos propios,12338495,27.12%,Gasto corriente,28854603,63.41%,Ingresos,45503144
169,General Zuazua,2010,Ingresos provenientes de transferencias federales,33164649,72.88%,Inversión,11036316,24.25%,Egresos,45503144
