Municipio,Year,Ingresos,Monto_ingresos,Pob,prop_ingr
Salinas Victoria,2015,Ingresos de deuda,13207050,54192,243.708481
Santa Catarina,2015,Ingresos propios,261860602,296954,881.8221071
Santa Catarina,2015,Ingresos provenientes de transferencias federales,699931514,296954,2357.036827
Santa Catarina,2015,Ingresos de deuda,124041519,296954,417.7129084
Santiago,2015,Ingresos propios,100853000,42407,2378.215861
Santiago,2015,Ingresos provenientes de transferencias federales,161733000,42407,3813.827906
Santiago,2015,Ingresos de deuda,2000000,42407,47.16202514
Apodaca,2018,Ingresos propios,871012876,641618,1357.525624
Apodaca,2018,Ingresos provenientes de transferencias federales,1115940421,641618,1739.259842
Apodaca,2018,Ingresos de deuda,26782076,641618,41.74146611
Cadereyta,2018,Ingresos propios,95897463,102293,937.4782536
Cadereyta,2018,Ingresos provenientes de transferencias federales,301172226,102293,2944.211491
Cadereyta,2018,Ingresos de deuda,301172226,102293,2944.211491
General Escobedo,2018,Ingresos propios,347721582,451138,770.7654465
General Escobedo,2018,Ingresos provenientes de transferencias federales,864084331,451138,1915.343711
General Escobedo,2018,Ingresos de deuda,41055956,451138,91.00531545
Juárez,2018,Ingresos propios,163366591,373725,437.1304863
Juárez,2018,Ingresos provenientes de transferencias federales,606095299,373725,1621.768142
Juárez,2018,Ingresos de deuda,81462841,373725,217.9753589
Pesquería,2018,Ingresos propios,180913650,104642,1728.881807
Pesquería,2018,Ingresos provenientes de transferencias federales,202769929,104642,1937.748982
Santiago,2018,Ingresos propios,191736525,45931,4174.446997
Santiago,2018,Ingresos provenientes de transferencias federales,241986976,45931,5268.489169
Santiago,2018,Ingresos de deuda,38546673,45931,839.2299972
Pesquería,2018,Ingresos de deuda,0,104642,0
