,Municipio,Año,Inv,Pob,prop_inv,perc_inv,trans_fed,prop_trans,perc_trans,ingresos_propios,prop_ingresos
71,San Pedro,2000,95842527.0,125978.0,760.7878122000001,0.0007937889999999999,160100133.0,1270.857872,7.93789E-06,369855135.0,2935.8708269999997
72,San Pedro,2010,151121470.0,122659.0,1232.045508,0.0008152680000000001,445064630.0,3628.471046,8.15268E-06,554958189.0,4524.398446
73,San Pedro,2015,377203378.0,123156.0,3062.809591,0.000811978,801515839.0,6508.134715,8.11978E-06,1317739952.0,10699.762509999999
74,San Pedro,2018,868213978.0,135509.0,6407.0576710000005,0.000737958,1312593846.0,9686.396077,7.37958E-06,1583356450.0,11684.511359999999
75,Santa Catarina,1990,2999575.0,163848.0,18.30705898,0.000610322,10624132.0,64.84138958,6.10322E-06,6177533.0,37.70282823
76,Santa Catarina,2000,66088807.0,227026.0,291.10677630000004,0.000440478,139726752.0,615.4658585,4.40478E-06,87468618.0,385.28017939999995
77,Santa Catarina,2010,102641403.0,268955.0,381.6303954,0.000371809,380694738.0,1415.4588609999998,3.71809E-06,165773769.0,616.3624732999999
78,Santa Catarina,2015,375184895.0,296954.0,1263.44449,0.00033675199999999995,699931514.0,2357.036827,3.36752E-06,261860602.0,881.8221071
79,Santa Catarina,2018,,315057.0,,,,,#¡DIV/0!,,
80,Santiago,1990,2695648.0,30182.0,89.31310052,0.003313233,2745038.0,90.94950633,3.31323E-05,3514253.0,116.435392
81,Santiago,2000,13274367.0,36812.0,360.598908,0.002716505,30710903.0,834.2633652000001,2.71651E-05,25900932.0,703.6002391
82,Santiago,2010,32496348.0,40469.0,802.9936,0.002471027,87362491.0,2158.75092,2.47103E-05,69978519.0,1729.188243
83,Santiago,2015,49064000.0,42407.0,1156.978801,0.002358101,161733000.0,3813.8279060000004,2.3581E-05,100853000.0,2378.215861
84,Santiago,2018,163058919.0,45931.0,3550.0842350000003,0.002177179,241986976.0,5268.4891689999995,2.17718E-05,191736525.0,4174.446997
