Municipio,Year,Ingresos,Monto_ingresos,Egresos,Monto_egresos,hist
Santiago,2010,Ingresos propios,69978519,Gasto corriente,133109777,b
Santiago,2010,Ingresos provenientes de transferencias federales,87362491,Inversión,32496348,b
Santiago,2010,Ingresos de deuda,22152360,Deuda,4821387,b
Santiago,2010,,,Otros,9065858,b
Abasolo,2015,Ingresos propios,3430263,Gasto corriente,14951304,b
Abasolo,2015,Ingresos provenientes de transferencias federales,36472139,Inversión,18342768,b
Abasolo,2015,Ingresos de deuda,0,Deuda,0,b
Abasolo,2015,,,Otros,6608330,b
Apodaca,2015,Ingresos propios,173697334,Gasto corriente,1091786573,b
Apodaca,2015,Ingresos provenientes de transferencias federales,1000070473,Inversión,527446901,b
Apodaca,2015,Ingresos de deuda,390736549,Deuda,192492419,b
Apodaca,2015,,,Otros,56474861,b
Cadereyta,2015,Ingresos propios,89163358,Gasto corriente,128809095,b
Cadereyta,2015,Ingresos provenientes de transferencias federales,262996783,Inversión,22465500,b
Cadereyta,2015,Ingresos de deuda,17162346,Deuda,6618856,b
Cadereyta,2015,,,Otros,211429036,b
El Carmen,2015,Ingresos propios,32023553,Gasto corriente,46336555,b
El Carmen,2015,Ingresos provenientes de transferencias federales,35245272,Inversión,13146668,b
El Carmen,2015,Ingresos de deuda,0,Deuda,27653,b
El Carmen,2015,,,Otros,7757949,b
Ciénaga de Flores,2015,Ingresos propios,70435970,Gasto corriente,97799212,b
Ciénaga de Flores,2015,Ingresos provenientes de transferencias federales,79913988,Inversión,38174171,b
Ciénaga de Flores,2015,Ingresos de deuda,1000000,Deuda,1877458,b
Ciénaga de Flores,2015,,,Otros,13499117,b
García,2015,Ingresos propios,232464141,Gasto corriente,387351227,b
García,2015,Ingresos provenientes de transferencias federales,384281147,Inversión,128339106,b
García,2015,Ingresos de deuda,0,Deuda,33681360,b
García,2015,,,Otros,67373595,b
San Pedro,2015,Ingresos propios,1317739952,Gasto corriente,1250072356,a
San Pedro,2015,Ingresos provenientes de transferencias federales,801515839,Inversión,377203378,a
San Pedro,2015,Ingresos de deuda,75783908,Deuda,198056729,a
San Pedro,2015,,,Otros,369707236,a
General Escobedo,2015,Ingresos propios,490349435,Gasto corriente,776169051,b
General Escobedo,2015,Ingresos provenientes de transferencias federales,688167853,Inversión,244370976,b
General Escobedo,2015,Ingresos de deuda,0,Deuda,46301755,b
General Escobedo,2015,,,Otros,111675506,b
General Zuazua,2015,Ingresos propios,17349384,Gasto corriente,40729406,b
General Zuazua,2015,Ingresos provenientes de transferencias federales,79345800,Inversión,31897258,b
General Zuazua,2015,Ingresos de deuda,4834753,Deuda,24670,b
General Zuazua,2015,,,Otros,28878603,b
Guadalupe,2015,Ingresos propios,468869005,Gasto corriente,1284314192,a
Guadalupe,2015,Ingresos provenientes de transferencias federales,1283951273,Inversión,394856660,a
Guadalupe,2015,Ingresos de deuda,60000000,Deuda,65118835,a
Guadalupe,2015,,,Otros,68530591,a
Juárez,2015,Ingresos propios,272010515,Gasto corriente,487367774,b
Juárez,2015,Ingresos provenientes de transferencias federales,395895260,Inversión,104931893,b
Juárez,2015,Ingresos de deuda,29220974,Deuda,89030748,b
Juárez,2015,,,Otros,15797334,b
Monterrey,2015,Ingresos propios,1878659371,Gasto corriente,3233613770,a
Monterrey,2015,Ingresos provenientes de transferencias federales,2694251631,Inversión,1222622020,a
Monterrey,2015,Ingresos de deuda,285354472,Deuda,359671607,a
Monterrey,2015,,,Otros,42358077,a
Pesquería,2015,Ingresos propios,74146032,Gasto corriente,83206079,b
Pesquería,2015,Ingresos provenientes de transferencias federales,57216523,Inversión,31170130,b
Pesquería,2015,Ingresos de deuda,0,Deuda,2608519,b
Pesquería,2015,,,Otros,14377827,b
Salinas Victoria,2015,Ingresos propios,93555613,Gasto corriente,94194785,b
Salinas Victoria,2015,Ingresos provenientes de transferencias federales,92297056,Inversión,93301222,b
Salinas Victoria,2015,Ingresos de deuda,13207050,Deuda,2280922,b
Salinas Victoria,2015,,,Otros,9282790,b
San Nicolás,2015,Ingresos propios,454170836,Gasto corriente,812809136,a
San Nicolás,2015,Ingresos provenientes de transferencias federales,1324083793,Inversión,329127000,a
San Nicolás,2015,Ingresos de deuda,0,Deuda,135267936,a
San Nicolás,2015,,,Otros,501050557,a
Santa Catarina,2015,Ingresos propios,261860602,Gasto corriente,563450038,b
Santa Catarina,2015,Ingresos provenientes de transferencias federales,699931514,Inversión,375184895,b
Santa Catarina,2015,Ingresos de deuda,124041519,Deuda,108811806,b
Santa Catarina,2015,,,Otros,38386896,b
Santiago,2015,Ingresos propios,100853000,Gasto corriente,188599000,b
Santiago,2015,Ingresos provenientes de transferencias federales,161733000,Inversión,49064000,b
Santiago,2015,Ingresos de deuda,2000000,Deuda,3632000,b
Santiago,2015,,,Otros,23291000,b
Abasolo,2018,Ingresos propios,,Gasto corriente,,b
Abasolo,2018,Ingresos provenientes de transferencias federales,,Inversión,,b
Abasolo,2018,Ingresos de deuda,,Deuda,,b
Abasolo,2018,,,Otros,,b
Apodaca,2018,Ingresos propios,871012876,Gasto corriente,1308518216,b
Apodaca,2018,Ingresos provenientes de transferencias federales,1115940421,Inversión,605639062,b
Apodaca,2018,Ingresos de deuda,26782076,Deuda,8746728,b
Apodaca,2018,,,Otros,90831367,b
Cadereyta,2018,Ingresos propios,95897463,Gasto corriente,283768956,b
Cadereyta,2018,Ingresos provenientes de transferencias federales,301172226,Inversión,74951638,b
Cadereyta,2018,Ingresos de deuda,301172226,Deuda,147116,b
Cadereyta,2018,,,Otros,38201979,b
El Carmen,2018,Ingresos propios,,Gasto corriente,,b
El Carmen,2018,Ingresos provenientes de transferencias federales,,Inversión,,b
El Carmen,2018,Ingresos de deuda,,Deuda,,b
El Carmen,2018,,,Otros,,b
Ciénaga de Flores,2018,Ingresos propios,,Gasto corriente,,b
Ciénaga de Flores,2018,Ingresos provenientes de transferencias federales,,Inversión,,b
Ciénaga de Flores,2018,Ingresos de deuda,,Deuda,,b
Ciénaga de Flores,2018,,,Otros,,b
García,2018,Ingresos propios,,Gasto corriente,,b
García,2018,Ingresos provenientes de transferencias federales,,Inversión,,b
García,2018,Ingresos de deuda,,Deuda,,b
García,2018,,,Otros,,b
San Pedro,2018,Ingresos propios,1583356450,Gasto corriente,1720563309,a
San Pedro,2018,Ingresos provenientes de transferencias federales,1312593846,Inversión,868213978,a
San Pedro,2018,Ingresos de deuda,154951911,Deuda,242750184,a
San Pedro,2018,,,Otros,219374736,a
General Escobedo,2018,Ingresos propios,347721582,Gasto corriente,947035351,b
General Escobedo,2018,Ingresos provenientes de transferencias federales,864084331,Inversión,208479016,b
General Escobedo,2018,Ingresos de deuda,41055956,Deuda,29804496,b
General Escobedo,2018,,,Otros,67543006,b
General Zuazua,2018,Ingresos propios,,Gasto corriente,,b
General Zuazua,2018,Ingresos provenientes de transferencias federales,,Inversión,,b
General Zuazua,2018,Ingresos de deuda,,Deuda,,b
General Zuazua,2018,,,Otros,,b
Guadalupe,2018,Ingresos propios,653250941,Gasto corriente,1708814225,a
Guadalupe,2018,Ingresos provenientes de transferencias federales,1805378768,Inversión,654962333,a
Guadalupe,2018,Ingresos de deuda,75184782,Deuda,118481063,a
Guadalupe,2018,,,Otros,51556870,a
Juárez,2018,Ingresos propios,163366591,Gasto corriente,690398261,b
Juárez,2018,Ingresos provenientes de transferencias federales,606095299,Inversión,122550295,b
Juárez,2018,Ingresos de deuda,81462841,Deuda,28296749,b
Juárez,2018,,,Otros,9679426,b
Monterrey,2018,Ingresos propios,2886395879,Gasto corriente,3884712179,a
Monterrey,2018,Ingresos provenientes de transferencias federales,3466386441,Inversión,1757442917,a
Monterrey,2018,Ingresos de deuda,35600000,Deuda,252803376,a
Monterrey,2018,,,Otros,493423848,a
Pesquería,2018,Ingresos propios,180913650,Gasto corriente,231801948,b
Pesquería,2018,Ingresos provenientes de transferencias federales,202769929,Inversión,122592415,b
Pesquería,2018,Ingresos de deuda,,Deuda,0,b
Pesquería,2018,,,Otros,29289216,b
Salinas Victoria,2018,Ingresos propios,,Gasto corriente,,b
Salinas Victoria,2018,Ingresos provenientes de transferencias federales,,Inversión,,b
Salinas Victoria,2018,Ingresos de deuda,,Deuda,,b
Salinas Victoria,2018,,,Otros,,b
San Nicolás,2018,Ingresos propios,637846673,Gasto corriente,1136730994,a
San Nicolás,2018,Ingresos provenientes de transferencias federales,1358111712,Inversión,500710289,a
San Nicolás,2018,Ingresos de deuda,204215643,Deuda,125902286,a
San Nicolás,2018,,,Otros,436830459,a
Santa Catarina,2018,Ingresos propios,,Gasto corriente,,b
Santa Catarina,2018,Ingresos provenientes de transferencias federales,,Inversión,,b
Santa Catarina,2018,Ingresos de deuda,,Deuda,,b
Santa Catarina,2018,,,Otros,,b
Santiago,2018,Ingresos propios,191736525,Gasto corriente,283642370,b
Santiago,2018,Ingresos provenientes de transferencias federales,241986976,Inversión,163058919,b
Santiago,2018,Ingresos de deuda,38546673,Deuda,2980236,b
Santiago,2018,,,Otros,22588649,b
